delta_v,delta_g,delta_h,p,v,g,h,f,c,cost,reward
0.62413382,0.838783813,-0.627576521,100,50.62413382,58.38783813,46.39047209,20.18593879,205.5760182,266.1338345,-266.1338345
0.536779752,0.684355978,-0.103837471,100,51.16091357,65.23139791,45.79324731,14.36774775,199.31187,242.4151132,-242.4151132
-0.247053495,0.018230558,0.158719231,100,50.91386008,65.41370349,46.70612642,15.95120847,195.305122,243.1587474,-243.1587474
-0.942266818,0.380834143,-0.904884779,100,49.97159326,69.22204491,41.50165054,14.62725399,196.534055,240.415817,-240.415817
-0.684382148,0.494518403,-0.799667498,100,49.28721111,74.16722894,36.90233547,12.89372897,198.8497657,237.5309526,-237.5309526
0.943671205,0.483255167,0.623581811,100,50.23088232,78.99978061,40.48888767,8.298567888,202.4655072,227.3612109,-227.3612109
0.247427561,-0.248785314,-0.768452149,100,50.47830988,76.51192747,36.06910875,9.666588825,224.5235931,253.5233596,-253.5233596
0.344136491,0.003820825,0.093138538,100,50.82244637,76.55013573,36.60479825,10.25013276,256.4783746,287.2287729,-287.2287729
-0.636159279,0.164871379,-0.354087246,100,50.18628709,78.19884952,34.5682533,8.892509948,288.8461395,315.5236694,-315.5236694
0.900742793,0.950767726,0.050987098,100,51.08702988,87.70652678,34.86150735,3.145514466,318.6591217,328.0956651,-328.0956651
0.129685352,-0.247282378,-0.107833487,100,51.21671523,85.233703,34.24129934,4.505806944,345.1877195,358.7051403,-358.7051403
0.819031365,-0.187979082,0.020243097,100,52.0357466,83.35391218,34.35772821,5.667255187,384.1604461,401.1622117,-401.1622117
-0.829686584,-0.015802048,0.522653191,100,51.20606001,83.1958917,37.36378598,5.841815364,410.7768404,428.3022865,-428.3022865
-0.743761971,-0.878546891,-0.0144099,100,50.46229804,74.41042279,37.28090695,11.93067746,432.8614347,468.6534671,-468.6534671
-0.502531091,-0.657884392,0.283862275,100,49.95976695,67.83157887,38.91355057,14.1953427,454.3779575,496.9639856,-496.9639856
-0.097574974,-0.528770799,0.265711269,100,49.86219198,62.54387088,40.44179806,24.03665535,469.4656405,541.5756065,-541.5756065
0.206565366,-0.084903093,0.080860909,100,50.06875734,61.69483995,40.90687235,16.94550794,508.0487241,558.8852479,-558.8852479
0.89034312,0.196573415,0.156959282,100,50.95910046,63.6605741,41.80962905,15.21510397,526.6369743,572.2822862,-572.2822862
0.828842048,-0.456501949,-0.049365342,100,51.78794251,59.09555461,41.52570259,19.24778747,513.3238645,571.0672269,-571.0672269
-0.992346248,-0.462869088,-0.877251996,100,50.79559626,54.46686373,36.48015762,27.32360558,484.5306677,566.5014844,-566.5014844
-0.108918387,-0.351242115,0.51013621,100,50.68667788,50.95444258,39.41422354,25.31066523,432.5885406,508.5205363,-508.5205363
-0.21771995,0.806129302,-0.589388599,100,50.46895792,59.0157356,36.02433478,26.21905572,376.7032972,455.3604644,-455.3604644
0.987117735,0.156462115,-0.593954751,100,51.45607566,60.58035676,32.60818364,15.92392005,333.7959543,381.5677144,-381.5677144
-0.897512949,0.47187392,-0.036785141,100,50.55856271,65.29909596,32.39661264,16.30660071,316.7302376,365.6500397,-365.6500397
0.557047984,-0.299460692,0.316071472,100,51.11561069,62.30448904,34.21450856,19.94797175,319.1962415,379.0401567,-379.0401567
0.092796953,0.086292938,0.955660969,100,51.20840765,63.16741842,39.71102544,16.1616239,299.9309606,348.4158323,-348.4158323
0.609959409,-0.58056407,0.343040117,100,51.81836706,57.36177773,41.68403245,24.49329932,283.18518,356.6650779,-356.6650779
-0.276557181,-0.425545101,-0.287554093,100,51.54180988,53.10632672,40.03015521,20.67736273,286.2153567,348.2474449,-348.2474449
0.98628897,0.635082093,-0.63221116,100,52.52809885,59.45714764,36.39397101,24.82001183,299.2899596,373.7499951,-373.7499951
-0.761839492,-0.05271294,-0.297808847,100,51.76625935,58.93001825,34.68111321,18.87470094,316.350653,372.9747558,-372.9747558
0.055268685,0.258805069,-0.294299249,100,51.82152804,61.51806894,32.98844097,20.58740208,324.8077403,386.5699465,-386.5699465
-0.70442662,-0.181044477,-0.981216613,100,51.11710142,59.70762416,27.34493993,21.3318046,332.0034782,395.998892,-395.998892
-0.226896687,0.945257973,0.416077172,100,50.89020473,69.1602039,29.73802207,16.56464666,321.2914243,370.9853643,-370.9853643
0.495728723,-0.062362376,0.597379489,100,51.38593346,68.53658014,33.17387072,16.54696536,311.250826,360.8917221,-360.8917221
-0.682928773,-0.061326653,-0.697321641,100,50.70300468,67.92331361,29.16320135,15.64994851,302.2031108,349.1529563,-349.1529563
-0.396813002,0.844040679,0.043326908,100,50.30619168,76.3637204,29.41239755,10.15077662,310.0838754,340.5362053,-340.5362053
-0.17593155,-0.626324288,-0.436806145,100,50.13026013,70.10047753,26.90009201,13.10597368,309.3754141,348.6933351,-348.6933351
0.271602763,0.327321049,-0.432929081,100,50.40186289,73.37368802,24.41008554,11.20478465,325.2034647,358.8178186,-358.8178186
0.948218441,0.531233625,0.874804376,100,51.35008133,78.68602427,29.44155294,8.389581449,332.7313071,357.9000515,-357.9000515
-0.977751449,-0.571054602,0.204429322,100,50.37232989,72.97547825,30.61733521,13.27914888,353.4346578,393.2721045,-393.2721045
-0.095867641,-0.749416913,-0.512119189,100,50.27646224,65.48130912,27.67186411,19.94215886,375.0364677,434.8629443,-434.8629443
-0.51133064,-0.532496606,-0.249162092,100,49.7651316,60.15634306,26.23879978,20.01726213,379.3950962,439.4468826,-439.4468826
-0.455952648,-0.42003893,-0.468241334,100,49.30917896,55.95595377,23.54569367,21.36307268,392.048845,456.138063,-456.138063
-0.911706197,-0.81967679,-0.278403242,100,48.39747276,47.75918586,21.94444786,23.79694973,397.6492377,469.0400869,-469.0400869
-0.893303618,-0.359664947,0.845288829,100,47.50416914,44.1625364,26.80615559,28.54845145,415.2204822,500.8658365,-500.8658365
0.980000323,-0.209910792,-0.367305614,100,48.48416946,42.06342847,24.69358474,30.89240579,412.6368154,505.3140328,-505.3140328
