delta_v,delta_g,delta_h,p,v,g,h,f,c,cost,reward
-0.295695195,-0.396467665,-0.982156122,100,49.7043048,46.03532335,44.35109534,24.78559166,203.0395701,277.3963451,-277.3963451
0.715909863,0.360209979,0.370266493,100,50.42021467,49.63742314,46.48069579,24.50173731,196.7830159,270.2882278,-270.2882278
0.706482143,0.837340456,0.724568692,100,51.12669681,58.01082771,50.6480775,20.97920252,189.3102089,252.2478165,-252.2478165
0.423115351,-0.69588311,-0.79242209,100,51.54981216,51.0519966,46.09043464,21.92011761,194.2144397,259.9747925,-259.9747925
0.835195716,-0.658401633,-0.646199753,100,52.38500788,44.46798027,42.37379457,23.85314497,192.0644455,263.6238804,-263.6238804
0.251690373,0.304909512,-0.680130705,100,52.63669825,47.51707539,38.46199947,24.43773898,194.1635904,267.4768074,-267.4768074
-0.511882047,0.989889639,0.676409445,100,52.1248162,57.41597178,42.35239162,22.80739349,199.7389386,268.1611191,-268.1611191
-0.384383182,0.940994796,0.556875703,100,51.74043302,66.82591974,45.55528134,14.13000209,198.1544284,240.5444347,-240.5444347
-0.773136181,0.758581195,-0.91448138,100,50.96729684,74.41173169,40.29561029,10.0793889,218.7149866,248.9531533,-248.9531533
0.330623444,-0.266388475,-0.720081009,100,51.29792028,71.74784694,36.15403964,14.14908227,237.9000306,280.3472775,-280.3472775
0.335727992,-0.558563197,0.797903334,100,51.63364828,66.16221497,40.74320806,14.01440132,243.440976,285.4841799,-285.4841799
-0.789109881,-0.247748773,0.301171089,100,50.84453839,63.68472724,42.47540392,15.53249343,243.4404099,290.0378902,-290.0378902
0.631472461,0.425917853,-0.894170406,100,51.47601086,67.94390577,37.33255213,14.42034027,263.6245834,306.8856042,-306.8856042
-0.934546155,0.908106691,-0.112587122,100,50.5414647,77.02497268,36.68500343,9.691901267,304.2854924,333.3611962,-333.3611962
0.438697097,-0.19310032,0.192973287,100,50.9801618,75.09396947,37.79489592,11.86821445,359.236515,394.8411584,-394.8411584
0.586906872,0.033781897,-0.143341702,100,51.56706867,75.43178844,36.97046119,11.94318912,387.4560295,423.2855968,-423.2855968
-0.964600383,0.722517497,-0.234765118,100,50.60246829,82.65696341,35.62020155,7.132878421,384.2000024,405.5986377,-405.5986377
-0.092093112,0.808537223,-0.396445913,100,50.51037518,90.74233564,33.34002927,1.122915624,371.6052996,374.9740464,-374.9740464
0.076679887,0.373248374,0.825492414,100,50.58705506,94.47481938,38.08787724,0,370.7189355,370.7189355,-370.7189355
0.363259331,0.587035496,0.011868397,100,50.95031439,100,38.15613873,0,380.7330046,380.7330046,-380.7330046
0.461240215,-0.784121917,0.968719286,100,51.41155461,92.15878083,43.72776096,0,396.8214568,396.8214568,-396.8214568
0.313284529,0.506034582,0.570440106,100,51.72483914,97.21912665,47.00866682,0,422.9747708,422.9747708,-422.9747708
-0.607768495,-0.101996436,-0.723748715,100,51.11707064,96.19916229,42.84600123,0,460.0027073,460.0027073,-460.0027073
-0.273725561,-0.140274548,0.213348754,100,50.84334508,94.79641681,44.07308391,0,495.2920723,495.2920723,-495.2920723
-0.076119911,0.572478422,0.669497541,100,50.76722517,100,47.92372201,0,562.3905261,562.3905261,-562.3905261
-0.336311473,-0.246156232,0.734611421,100,50.4309137,97.53843768,52.14886482,0,618.1353778,618.1353778,-618.1353778
-0.227731935,0.576827319,-0.016586529,100,50.20318176,100,52.05346683,0,658.9039541,658.9039541,-658.9039541
-0.947266867,-0.344996686,0.655888526,100,49.2559149,96.55003314,55.82583221,0,658.1302412,658.1302412,-658.1302412
0.743279796,0.79813937,-0.951973091,100,49.99919469,100,50.35052629,0,667.8173308,667.8173308,-667.8173308
-0.488603306,0.282549543,-0.814760531,100,49.51059139,100,45.66440312,0,671.0473898,671.0473898,-671.0473898
-0.847933886,0.857332243,0.061443655,100,48.6626575,100,46.01779841,0,681.3275736,681.3275736,-681.3275736
0.029183252,-0.498311103,0.016583971,100,48.69184075,95.01688897,46.11318169,0,686.0301275,686.0301275,-686.0301275
0.946539185,-0.868600696,-0.309968668,100,49.63837994,86.33088201,44.33038625,5.199732956,695.2396567,710.8388556,-710.8388556
-0.104517378,0.246063584,0.138244081,100,49.53386256,88.79151784,45.12550183,2.868785336,680.7502753,689.3566313,-689.3566313
-0.499004743,0.162935537,-0.448938056,100,49.03485782,90.42087321,42.54341919,2.29368956,687.8784546,694.7595233,-694.7595233
-0.377884319,0.77683714,0.413746002,100,48.6569735,98.18924461,44.92309353,0,682.9232772,682.9232772,-682.9232772
-0.518086847,0.594149305,-0.366549109,100,48.13888665,100,42.81487375,0,685.6725067,685.6725067,-685.6725067
0.880180861,-0.161660317,-0.105003155,100,49.01906751,98.38339683,42.21094449,0,649.1220268,649.1220268,-649.1220268
0.835597199,-0.213219412,-0.722760553,100,49.85466471,96.25120271,38.05396235,0,611.9105473,611.9105473,-611.9105473
-0.761460867,0.046840087,0.049166482,100,49.09320384,96.71960358,38.33674506,0,569.1063686,569.1063686,-569.1063686
0.318867081,0.815920846,0.753008315,100,49.41207092,100,42.66769824,0,561.3571301,561.3571301,-561.3571301
0.825886356,0.50301323,0.095204138,100,50.23795728,100,43.21526811,0,580.9521295,580.9521295,-580.9521295
0.908574868,0.859450897,0.063622146,100,51.14653215,100,43.58119307,0,619.265584,619.265584,-619.265584
0.243133404,0.319165738,-0.395840542,100,51.38966555,100,41.3045026,0,659.4273466,659.4273466,-659.4273466
0.977025206,-0.249280688,-0.125747104,100,52.36669076,97.50719312,40.58126381,0,662.1311926,662.1311926,-662.1311926
-0.436062239,-0.823291323,-0.760326343,100,51.93062852,89.27427989,36.20822074,1.809360169,667.5504103,672.9784908,-672.9784908
0.528183003,0.373622335,-0.423544255,100,52.45881152,93.01050324,33.77219142,0,673.5426548,673.5426548,-673.5426548
-0.211739817,-0.145719633,-0.959177619,100,52.24707171,91.55330691,28.25544841,0,691.8815363,691.8815363,-691.8815363
-0.333466053,0.417749814,0.904829241,100,51.91360565,95.73080506,33.45960486,0,716.384882,716.384882,-716.384882
-0.474567284,-0.613375749,-0.318950849,100,51.43903837,89.59704757,31.6251481,1.492306424,736.464805,740.9417243,-740.9417243
0.50886463,-0.474947501,0.629220892,100,51.947903,84.84757256,35.24413366,4.752753439,724.1263696,738.3846299,-738.3846299
-0.176992096,-0.286619895,0.466081276,100,51.7709109,81.98137361,37.92481612,6.261545523,705.470446,724.2550825,-724.2550825
-0.241661402,-0.64574591,-0.641415912,100,51.5292495,75.52391452,34.23569048,9.751692085,670.5777264,699.8328027,-699.8328027
-0.384765039,-0.036692641,0.687126287,100,51.14448446,75.15698811,38.18772092,11.31103826,662.130734,696.0638488,-696.0638488
0.038627151,0.199258834,0.685575318,100,51.18311161,77.14957645,42.1308309,9.49639177,639.032322,667.5214973,-667.5214973
0.843218922,-0.328980694,0.07460317,100,52.02633054,73.8597695,42.55991359,12.4012618,628.3227799,665.5265653,-665.5265653
-0.210264124,-0.231050896,-0.55581276,100,51.81606641,71.54926054,39.36313741,14.31198633,603.0365434,645.9725024,-645.9725024
0.004403676,0.476835701,0.643479526,100,51.82047009,76.31761755,43.064132,10.06546943,542.7441092,572.9405175,-572.9405175
0.177080025,0.691789868,-0.96704814,100,51.99755011,83.23551623,37.50212142,6.064766263,505.9941154,524.1884142,-524.1884142
-0.315601571,0.291322263,-0.569479067,100,51.68194854,86.14873885,34.22674301,3.246791229,467.8512538,477.5916275,-477.5916275
0.728504956,0.718760174,-0.426024472,100,52.4104535,93.33634059,31.77644863,0,441.2425382,441.2425382,-441.2425382
-0.180340256,-0.925772458,0.172171142,100,52.23011324,84.07861601,32.76669687,4.533467744,434.9402944,448.5406977,-448.5406977
0.1833131,0.32171368,-0.959099727,100,52.41342634,87.29575281,27.25040185,3.005797394,432.1691982,441.1865903,-441.1865903
-0.642488071,-0.760133654,0.774921801,100,51.77093827,79.69441627,31.7073912,7.465502664,440.3811631,462.7776711,-462.7776711
-0.697648312,-0.301441357,-0.167546418,100,51.07328996,76.6800027,30.74374222,8.974724892,463.6978078,490.6219825,-490.6219825
-0.655660366,0.680960859,0.988430021,100,50.41762959,83.48961129,36.42873143,5.524418131,524.9423506,541.515605,-541.515605
0.495894517,0.467628419,-0.633141381,100,50.91352411,88.16589548,32.78719703,2.471989582,566.5456907,573.9616595,-573.9616595
0.369709046,0.967532638,0.87166026,100,51.28323316,97.84122185,37.80058095,0,596.7345215,596.7345215,-596.7345215
0.630760809,-0.27470628,-0.573082964,100,51.91399397,95.09415906,34.5044746,0,578.0097945,578.0097945,-578.0097945
0.087171022,-0.302425525,0.639143148,100,52.00116499,92.0699038,38.18052837,0,550.3777812,550.3777812,-550.3777812
